Characteristic,Output value in million GBP
Nov 20,442
Oct 20,457
Sep 20,422
Aug 20,446
Jul 20,433
Jun 20,301
May 20,235
Apr 20,184
Mar 20,539
Feb 20,578
Jan 20,589
Dec 19,596
Nov 19,615
Oct 19,617
Sep 19,604
Aug 19,596
Jul 19,571
Jun 19,626
May 19,590
Apr 19,581
Mar 19,555
Feb 19,541
Jan 19,536
Dec 18,557
Nov 18,508
Oct 18,499
Sep 18,517
Aug 18,495
Jul 18,501
Jun 18,486
May 18,468
Apr 18,478
Mar 18,472
Feb 18,460
Jan 18,442
Dec 17,526
Nov 17,512
Oct 17,468
Sep 17,500
Aug 17,493
Jul 17,490
Jun 17,461
May 17,505
Apr 17,474
Mar 17,485
Feb 17,461
Jan 17,449
