Type of program,Number of students
Undergraduate program,1064709
"Career, technical or professional training program",521274
Graduate program (second cycle),157629
Pre-university program,86997
Non-program (non-credit),72414
"Non-program (credit, undergraduate)",67665
Graduate program (third cycle),55005
Basic education and skills program,28704
"Post career, technical or professional training program",25716
Post-baccalaureate non-graduate program,24198
"Qualifying program for career, technical or pre-university",16977
Health-related residency program,16749
"Non-program (credit, other postsecondary)",10317
"Non-program (credit, graduate)",2658
Undergraduate qualifying program,2427
Other programs,1737
Graduate qualifying program (second cycle),186
Graduate program (above the third cycle),3
Graduate qualifying program (third cycle),3
