Characteristic,Number of cases per million population
1980,65.3
1981,83.1
1982,101.3
1983,123.1
1984,148.9
1985,178.6
1986,217.0
1987,259.7
1988,329.6
1989,407.0
1990,461.7
1991,515.8
1992,581.2
1993,637.7
1994,704.2
1995,847.6
1996,1004.3
1997,1132.0
1998,1244.1
1999,1333.8
2000,1410.6
2001,1474.2
2002,1526.8
2003,1571.3
2004,1610.2
2005,1647.3
2006,1686.8
2007,1721.5
2008,1756.4
2009,1794.1
2010,1829.0
2011,1855.1
2012,1844.1
2013,1916.7
2014,1948.2
2015,1979.1
2016,1998.3
