Characteristic,Market value in million U.S. dollars
Clube de Regatas do Flamengo,129.0
Sociedade Esportiva Palmeiras,112.9
Clube Atlético Mineiro,81.1
Grêmio Foot-Ball Porto Alegrense,75.2
Sport Club Internacional,72.3
São Paulo Futebol Clube,65.5
Sport Club Corinthians Paulista,64.9
Santos FC,57.9
Red Bull Bragantino,56.5
Club Athletico Paranaense,48.2
Fluminense Football Club,37.4
Club de Regatas Vasco da Gama,36.5
Botafogo de Futebol e Regatas,21.4
Ceará Sporting Club,18.4
Fortaleza Esporte Clube,16.8
Esporte Clube Bahia,14.2
Coritiba Foot Ball Club,14.1
Sport Club do Recife,9.6
Goiás Esporte Clube,8.4
Atlético Clube Goianiense,7.2
