Characteristic,Number of imported firearms
Brazil,827972
Austria,819256
Turkey,480032
Italy,348380
Germany,317516
Croatia,185719
Czech Republic,180642
Canada,153284
China*,126478
Philippines,102686
Japan,78156
Spain,59711
Belgium,51992
Finland,46929
Romania,42853
Israel,27109
Argentina,25625
Portugal,24353
United Kingdom,21836
Switzerland,18298
Serbia,12967
Poland,10279
Russia,4802
Ukraine,3200
Slovak Republic,2973
Bulgaria,2092
Slovenia,1878
France,1673
Other**,972
