Characteristic,Gross domestic product in billion U.S. dollars
2026*,41.25
2025*,39.56
2024*,37.98
2023*,36.75
2022*,35.92
2021*,35.83
2020*,34.37
2019,33.56
2018,35.89
2017,47.84
2016,64.88
2015,65.27
2014,60.73
2013,52.89
2012,48.95
2011,66.45
2010,65.72
2009,54.81
2008,64.83
2007,59.44
2006,45.26
2005,35.18
2004,26.65
2003,21.36
2002,18.14
2001,15.72
2000,13.13
1999,10.71
1998,10.92
1997,10.24
1996,8.38
1995,6.69
1994,5.96
1993,5.25
1992,3.1
1991,2.53
1990,2.25
1989,16.85
1988,9.55
1987,11.96
1986,7.4
