Characteristic,Inflation rate compared to previous year
2026*,3%
2025*,3%
2024*,3%
2023*,3%
2022*,3%
2021*,3.1%
2020,3.04%
2019,2.25%
2018,2.32%
2017,2.18%
2016,3.79%
2015,4.35%
2014,4.71%
2013,1.79%
2012,3%
2011,3.34%
2010,1.41%
2009,1.5%
2008,8.72%
2007,4.41%
2006,3.4%
2005,3.05%
2004,1.05%
2003,2.81%
2002,2.49%
2001,3.57%
2000,3.84%
1999,3.33%
1998,5.11%
1997,6.13%
1996,7.36%
1995,8.23%
1994,11.46%
1993,12.74%
1992,15.45%
1991,21.82%
1990,26.04%
1989,17.03%
1988,14.68%
1987,19.88%
1986,19.48%
