Characteristic,Revenue in million U.S. dollars
Q1 '21,4294.0
Q4 '20,4638.0
Q3 '20,4158.0
Q2 '20,3685.0
Q1 '20,3184.0
Q4 '19,4149.0
Q3 '19,3929.0
Q2 '19,3835.0
Q1 '19,3594.0
Q4 '18,3960.0
Q3 '18,4110.0
Q2 '18,3930.0
Q1 '18,3330.0
Q4 '17,3620.0
Q3 '17,3530.0
Q2 '17,3079.0
Q1 '17,2454.0
Q4 '16,2623.0
Q3 '16,2737.0
Q2 '16,2748.0
Q1 '16,2454.0
Q4 '15,2887.0
Q3 '15,2892.0
Q2 '15,2673.0
Q1 '15,2053.0
Q4 '14,2264.0
Q3 '14,2203.0
Q2 '14,1932.0
Q1 '14,1528.0
Q4 '13,1573.0
Q3 '13,1453.0
Q2 '13,1232.0
Q1 '13,961.0
Q4 '12,1017.0
Q3 '12,994.6
Q2 '12,858.8
Q1 '12,677.1
Q4 '11,710.9
Q3 '11,654.7
Q2 '11,528.4
Q1 '11,372.0
Q4 '10,371.3
Q3 '10,337.2
Q2 '10,282.3
Q1 '10,189.6
