Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,91.14
"Finance, insurance, real estate, rental, and leasing",51.51
"Educational services, health care, and social assistance",30.61
Government and government enterprises,30.18
Professional and business services,29.63
Retail trade,19.36
Wholesale trade,17.53
"Arts, entertainment, recreation, accommodation, and food services",9.19
Construction,11.41
Transportation and warehousing,9.8
Information,6.93
Other services (except government and government enterprises),6.17
Utilities,6.21
"Agriculture, forestry, fishing, and hunting",7.16
"Mining, quarrying, and oil and gas extraction",1.22
