Characteristic,Number of words
Henry VI - Part 2,60
Henry VI - Part 1,54
Richard III,53
Antony and Cleopatra,53
Henry IV - Part 2,52
Coriolanus,49
Timon of Athens,48
Julius Caesar,47
Henry V,44
"Pericles, Prince of Tyre",43
Henry VIII,43
Henry VI - Part 3,43
Macbeth,38
Cymbeline,37
Richard II,34
The Taming of the Shrew,34
Henry IV - Part 1,34
The Winter's Tale,33
Romeo and Juliet,32
Hamlet,30
Troilus and Cressida,27
King John,27
As You Like It,26
King Lear,25
Othello,25
Titus Andronicus,24
The Merry Wives of Windsor,23
Measure for Measure,23
Much Ado About Nothing,23
The Merchant of Venice,22
All's Well That Ends Well,22
A Midsummer Night's Dream,22
Love's Labour's Lost,19
The Comedy of Errors,19
The Tempest,19
Twelfth Night,18
The Two Gentlemen of Verona,17
