Characteristic,Revenue in million U.S. dollars
Mar '21,39.35
Feb '21,31.85
Jan '21,52.38
Dec '20,41.11
Nov '20,61.81
Oct '20,42.39
Sept '20,32.9
Aug '20,16.99
Jul '20,6.3
Jun '20,-0.48
Apr & May '20*,2.67
Mar '20,1.46
Feb '20,38.06
Jan '20,20.15
Dec '19,36.33
Nov '19,31.01
Oct '19,47.89
Sep '19,52.07
Aug '19,18.73
Jul '19,10.53
Jun '19,16.59
May '19,11.27
Apr '19,21.66
Mar '19,32.52
Feb '19,35.82
Jan '19,14.63
Dec '18,44.11
Nov '18,27.14
Oct '18,29.55
Sep '18,56.3
Aug '18,12.6
Jul '18,4.06
Jun '18,2.17
