Characteristic,Salary (in million U.S. dollars)
Brad Richards (New York Rangers),12.0
Ilya Bryzgalov (Philadelphia Flyers),10.0
Christian Ehrhoff (Buffalo Sabres),10.0
Vincent Lecavalier (Tampa Bay Lightning),10.0
Sidney Crosby (Pittsburgh Penguins),9.0
Evgeni Malkin (Pittsburgh Penguins),9.0
Alex Ovechkin (Washington Capitals),9.0
Z. Chara (Boston Bruins),8.5
Dany Heatley (Minnesota Wild),8.0
Duncan Keith (Chicago Blackhawks),8.0
Jason Spezza (Ottawa Senators),8.0
Steven Stamkos (Tampa Bay Lightning),8.0
Joe Thornton (San Jose Sharks),8.0
Marian Hossa (Chicago Blackhawks),7.9
Eric Staal (Carolina Hurricanes),7.75
