Characteristic,Home ownership rate
Romania,95.8%
Hungary,91.7%
Montenegro,91%
Slovakia,90.9%
Lithuania,90.3%
Croatia,89.7%
North Macedonia,85.9%
Poland,84.2%
Bulgaria,84.1%
Serbia,83.3%
Estonia,81.7%
Norway,80.3%
Latvia,80.2%
Malta,79.8%
Czechia,78.6%
Spain,76.2%
Greece,75.4%
Slovenia,74.8%
Portugal,73.9%
Iceland *,73.6%
Italy,72.4%
Belgium,71.3%
Finland,71.1%
Luxembourg,70.9%
Netherlands,68.9%
Ireland,68.7%
Cyprus,67.9%
United Kingdom *,65.2%
France,64.1%
Sweden,63.6%
Denmark,60.8%
Turkey,58.8%
Austria,55.2%
Germany,51.1%
Switzerland,41.6%
