Specifically tailored program or group,Percentage of facilities
Clients with co-occuring mental and substance abuse disorders,53%
Adult women,49%
Adult men,47%
Clients who have experienced trauma,43%
Criminal justice clients (other than DUI/DWI),36%
Young adults,31%
"Persons who have experienced intimate partner violence, domestic violence",28%
Persons who have experienced sexual abuse,28%
Adolescents,24%
DUI or DWI clients,24%
Pregnant or postpartum women,24%
Seniors or older adults,23%
Persons with HIV or AIDS,23%
"Lesbian, gay, bisexual, transgender clients",22%
Veterans,20%
Members of military families,14%
Active duty military,12%
