Characteristic,Annual average growth
Finland,0.1%
Greece,0.2%
Netherlands,0.5%
Luxembourg,0.7%
France,0.8%
Italy,0.8%
Slovak Republic,0.8%
Austria,1%
Belgium,1.1%
Mexico,1.1%
United Kingdom,1.5%
Canada,1.6%
Sweden,1.7%
Japan,1.8%
Slovenia,1.9%
Australia,1.9%
New Zealand,1.9%
Ireland,1.9%
Denmark,2.1%
Switzerland,2.1%
Norway,2.1%
Spain,2.3%
Germany,2.5%
Israel,2.6%
Turkey,2.7%
United States,2.8%
Portugal,2.8%
Czech Republic,2.8%
Hungary,3%
Iceland,4%
Poland,4.3%
Estonia,5.2%
Chile,5.2%
Latvia,6.2%
Lithuania,6.7%
South Korea,7.3%
