Buyer (Seller),Value in billion U.S. dollars
Kinder Morgan Inc (Kinder Morgan Energy Partners),71.0
Access Midstream Partners (William Partners),34.4
Targa Resource Partners (Atlas Pipeline Partners),7.7
Williams Partners (Global Infrastructure Partners),6.0
APA Grup (BG Group),5.0
Enterprise Products Partners (Oiltaking Holding America),4.6
Tesoro Logistics (QEP Resources),2.5
El Paso Pipeline Partners (Kinder Morgan Inc),2.0
Enbridge Income Fund (Enbridge Inc),1.6
Western Gas Partners (Nuevo Midstream LLC),1.5
