Characteristic,Household debt to GDP ratio
Q3 2020,79.38%
Q2 2020,79.17%
Q1 2020,84.48%
Q4 2019,76.42%
Q3 2019,75.43%
Q2 2019,75.4%
Q1 2019,75.32%
Q4 2018,75.28%
Q3 2018,76.01%
Q2 2018,76.01%
Q1 2018,75.81%
Q4 2017,76.27%
Q3 2017,77.24%
Q2 2017,77.44%
Q1 2017,77.71%
Q4 2016,77.46%
Q3 2016,78.06%
Q2 2016,78.4%
Q1 2016,78.1%
Q4 2015,78.14%
Q3 2015,78.58%
Q2 2015,78.57%
Q1 2015,78.76%
Q4 2014,78.97%
Q3 2014,79.92%
Q2 2014,80.11%
Q1 2014,81.43%
Q4 2013,82.41%
Q3 2013,82.63%
Q2 2013,82.7%
Q1 2013,83.3%
Q4 2012,83.59%
Q3 2012,84.94%
Q2 2012,85.48%
Q1 2012,85.83%
Q4 2011,86.82%
Q3 2011,88.33%
Q2 2011,89.47%
Q1 2011,90.33%
