Characteristic,Number of hashtagged posts in millions
"Central Park, New York City",6.17
"Eiffel Tower, Paris",5.09
"Times Square, New York City",3.45
"Grand Canyon, Arizona",3.01
"Big Ben, London",2.9
"Burj Khalifa, Dubai",2.66
"London Eye, London",2.63
"Brooklyn Bridge, New York City",2.53
"Louvre, Paris",2.51
"Golden Gate Bridge, California",2.37
"Niagara Falls, Ontario",2.36
"Empire State Building, New York City",2.3
"London Bridge, London",1.82
"Statue of Liberty, New York City",1.6
"Sagrada Familia, Barcelona",1.53
"Coliseum, Rome",1.35
"Machu Picchu, Peru",1.26
"Angor Wat, Cambodia",1.16
