Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",4541.8
Professional and business services,2710.7
Government,2639.5
Manufacturing,2345.8
"Educational services, health care, and social assistance",1865.4
Wholesale trade,1262.3
Retail trade,1162.2
Information,1127.5
"Arts, entertainment, recreation, accommodation, and food services",907.2
Construction,892.7
Transportation and warehousing,696.7
"Other services, except government",461.3
Mining,309.5
Utilities,335.3
"Agriculture, forestry, fishing, and hunting",175.4
