Characteristic,Horses,Dogs,Football,Numbers,Other
Apr 19 to Mar 20*,3.95,0.99,1.24,0.98,0.44
Apr 18 - Mar 19,4.19,0.94,1.8,0.95,0.55
Apr 17 - Mar 18,4.39,1.04,1.27,0.98,0.62
Apr 16 - Mar 17,4.54,1.15,1.39,0.98,0.65
Apr 15 - Mar 16,4.8,1.22,1.3,1.01,0.56
Apr 14 - Mar 15,4.8,1.22,1.32,0.98,0.48
Apr 13 - Mar 14,4.89,1.27,1.17,1.0,0.62
Apr 12 - Mar 13,5.08,1.32,1.16,0.96,0.64
Apr 11 - Mar 12,5.3,1.32,1.01,0.86,0.76
Apr 10 - Mar 11,5.15,1.36,1.03,0.84,0.56
Apr 09 - Mar 10,5.44,1.41,0.95,0.85,0.62
