Characteristic,Inflation rate compared to previous year
2026*,1.48%
2025*,1.47%
2024*,1.35%
2023*,1.13%
2022*,0.76%
2021*,0.17%
2020*,-0.18%
2019,0.57%
2018,0.44%
2017,0.58%
2016,-0.53%
2015,-0.52%
2014,1.03%
2013,2.36%
2012,4.58%
2011,5.25%
2010,2.82%
2009,0.6%
2008,6.63%
2007,2.11%
2006,0.96%
2005,0.47%
2004,1.67%
2003,0.49%
2002,-0.39%
2001,1.02%
2000,1.35%
1999,0.02%
1998,-0.27%
1997,2.02%
1996,1.38%
1995,1.73%
1994,3.1%
1993,2.29%
1992,2.24%
1991,3.44%
1990,3.45%
1989,2.29%
1988,1.52%
1987,0.48%
1986,-1.38%
