Characteristic,Freight revenue in million U.S. dollars
FedEx Corp.,64690
UPS Inc.,63978
China Railway Corp.,44468
Maersk Group,34839
CMA CGM,30254
Russian Railways,26267
Deutsche Post DHL,24265
Mediterranean Shipping Co.,24002
BNSF Railway Co.,22328
COSCO Group,21787
Union Pacific Corp.,21708
Indian Railways,19036
SF Express,16050
Hapag-Lloyd AG,14121
Deutsche Bahn AG,12963
Yamato Holdings,12517
CSX Corp.,11937
Norfolk Southern,11296
Canadian National Railway,10953
NYK Group,10210
