Characteristic,Venue construction costs in million U.S. dollars
"American Airlines Center, 2001",420.0
"Staples Center, 1999",375.0
"Time Warner Cable Arena, 2005",265.0
"Rose Garden, 1995",262.0
"Oracle Arena, 1997",260.0
"FedExForum, 2004",250.0
"Air Canada Centre, 1999",239.5
"Toyota Center, 2003",235.0
"Madison Square Garden, 1991",220.0
"Philips Arena, 1999",213.5
"Wachovia Center, 1996",206.0
"American Airlines Arena, 1999",194.0
"AT&T Center, 2002",186.0
"Pepsi Center, 1999",184.0
"Conseco Field House, 1999",183.0
"United Center, 1994",175.0
"TD Banknorth Garden, 1995",160.0
"Quicken Loans Arena, 1994",152.0
"Oriole Park at Camden Yards, 1992",110.0
"New Orleans Arena, 1999",110.0
"Target Center, 1990",104.0
"Amway Arena, 1989",102.0
"EnergySolution Arena, 1991",94.0
"US Airways Center, 1992",90.0
"Ford Center, 2002",89.0
