Characteristic,Unique users in millions
Jan '21,25.7
Dec '20,24.48
Nov '20,25.08
Oct '20,24.63
Sep '20,21.21
Aug '20,21.68
Jul '20,21.22
Jun '20,20.86
May '20,23.71
Apr '20,25.84
Mar '20,27.27
Feb '20,19.44
Jan '20,18.27
Dez '19,15.48
Nov '19,16.0
Oct '19,15.57
Sep '19,15.8
Aug '19,15.88
Jul '19,16.13
Jun '19,15.82
Mai '19,16.56
Apr '19,15.17
Mär '19,15.3
Feb '19,14.32
Jan '19,15.03
Dez '18,14.02
Nov '18,14.57
Okt '18,14.75
Sep '18,14.58
Aug '18,14.04
Jul '18,12.95
Jun '18,13.59
Mai '18,13.72
