Characteristic,Injuries,Fatalities
2019,2740000,36096
2018,2710000,36835
2017,2745000,37473
2016,3062000,37806
2015,2455000,35484
2014,2343000,32744
2013,2319000,32893
2012,2369000,33782
2011,2227000,32479
2010,2248000,32999
2009,2217000,33883
2008,2346000,37423
2007,2491000,41259
2006,2575000,42708
2005,2699000,43510
2004,2788000,42836
2003,2889000,42884
2002,2926000,43005
2001,3033000,42196
2000,3189000,41945
1999,3236000,41717
1998,3192000,41501
1997,3348000,42013
1996,3483000,42065
1995,3465000,41817
1994,3266000,40716
1993,3149000,40150
1992,3070000,39250
1991,3097000,41508
1990,3231000,44599
