Characteristic,Activities on leisure trips
Dine in restaurants,70.3%
Visit friends or relatives,60%
Shopping,54.6%
Go to the beach or lake,44.5%
Sightseeing in cities,39.4%
Visit a historical place or attraction,33.6%
Visit small towns/villages,31.8%
Visit a theme/amusement park,29.7%
Sightseeing in rural areas,29.7%
Casino/Gambling,28.5%
Visit a state of local park,24.8%
Visit National Parks,22.7%
Day Hiking,21%
Art galleries or museums,20.2%
"Attend conccert, play or musical",18.2%
