Characteristic,Consumer credit debt in trillion U.S. dollars
Q3 2020,4.16
Q2 2020,4.14
Q1 2020,4.2
Q4 2019,4.14
Q3 2019,4.14
Q2 2019,4.09
Q1 2019,4.05
Q4 2018,3.99
Q3 2018,3.96
Q2 2018,3.89
Q1 2018,3.86
Q4 2017,3.85
Q3 2017,3.74
Q2 2017,3.69
Q1 2017,3.65
Q3 2016,3.59
Q2 2016,3.53
Q1 2016,3.47
Q4 2015,3.42
Q3 2015,3.5
Q2 2015,3.44
Q1 2015,3.37
Q4 2014,3.32
Q3 2014,3.26
Q2 2014,3.21
Q1 2014,3.15
Q4 2013,3.1
Q3 2013,3.05
Q2 2013,3.0
Q1 2013,2.97
Q4 2012,2.92
Q3 2012,2.87
Q2 2012,2.84
Q1 2012,2.79
Q4 2011,2.76
Q3 2011,2.72
Q2 2011,2.69
Q1 2011,2.67
