Characteristic,Salt production in million metric tons
2020,270
2019,283
2018,286
2017,288
2016,270
2015,271
2014,266
2013,262
2012,280
2011,286
2010,280
2009,279
2008,276
2007,266
2006,261
2005,249
2004,235
2003,225
2002,214
2001,199
2000,195
1999,210
1998,200
1997,221
1996,204
1995,199
1994,191
1993,187
1992,185
1991,202
1990,183
1989,192
1988,186
1987,179
1986,175
1985,173
1984,173
1983,159
1982,164
1981,171
1980,169
1979,173
1978,168
1977,157
1976,161
1975,162
