Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",52.59
Manufacturing,47.63
Professional and business services,39.78
"Educational services, health care, and social assistance",34.1
Government and government enterprises,34.26
Retail trade,23.03
Wholesale trade,21.2
"Arts, entertainment, recreation, accommodation, and food services",12.14
Transportation and warehousing,12.52
Information,12.32
Construction,11.49
Other services (except government and government enterprises),6.94
"Agriculture, forestry, fishing, and hunting",1.91
Utilities,2.05
"Mining, quarrying, and oil and gas extraction",0.86
