Characteristic,Pottery Barn,Williams-Sonoma,West Elm,Pottery Barn Kids and Teen,Other*
2020,2526.24,1242.27,1682.25,1042.53,289.89
2019,2214.4,1032.37,1466.54,908.56,276.15
2018,2177.34,1056.13,1292.93,895.76,249.43
2017,2066.0,1022.0,1114.0,861.0,229.0
2016,2024.0,1002.0,972.0,873.0,213.0
2015,2074.0,994.0,821.0,894.0,194.0
2014,2022.0,995.0,669.0,886.0,127.0
2013,1911.0,978.0,531.0,844.0,124.0
2012,1753.0,981.0,430.0,778.0,101.0
2011,1601.0,994.0,336.0,734.0,56.0
2010,1511.0,1006.0,260.0,686.0,42.0
2009,1304.0,958.0,212.0,596.0,32.0
