Characteristic,Number of tested people
December 7 to December 13,220504
November 30 to December 6,185977
November 23 to November 29,163421
November 16 to November 22,166913
November 9 to November 15,155653
November 2 to November 8,165041
October 26 to November 1,197534
October 19 to October 25,215483
October 12 to October 18,225890
October 5 to October 11,240434
September 28 to October 4,225655
September 21 to September 27,214472
September 14 to September 20,203384
September 7 to September 13,197923
August 31 to September 6,184761
August 24 to August 30,185167
August 17 to August 23,161406
August 10 to August 16,121253
August 3 to August 9,118058
July 27 to August 2,122021
July 20 to July 26,113744
July 13 to July 19,89783
July 6 to July 12,79309
June 29 to July 5,69658
June 22 to June 28,64140
June 15 to June 21,65541
June 8 to June 14,63778
June 1 to June 7,58956
May 25 to May 31,33871
May 18 to May 24,28836
May 11 to May 17,32687
May 4 to May 10,29006
April 27 to May 3,28954
April 20 to April 26,38395
April 13 to April 19,40102
April 6 to April 12,38960
March 30 to April 5,29098
March 23 to March 29,24745
March 16 to March 22,21338
March 9 to March 15,17080
