Characteristic,Percentage of change compared to previous year
2025*,2.36%
2024*,2.99%
2023*,4%
2022*,4.61%
2021*,7.16%
2020*,-12.63%
2019,-0.12%
2018,2.99%
2017,3.92%
2016,0.3%
2015,0.42%
2014,4.21%
2013,3.58%
2012,3.41%
2011,7.14%
2010,12.14%
2009,-8.4%
2008,5.66%
2007,8.7%
2006,9.34%
2005,7.13%
2004,9.67%
2003,2.19%
2002,-1.74%
2001,-5.78%
2000,8.34%
1999,4.98%
1998,2.33%
1997,11.91%
1996,8.17%
1995,10.28%
1994,8.84%
1993,3.28%
1992,6.93%
1991,6.61%
1990,8.82%
