Characteristic,Gross domestic product in billion U.S. dollars
2026*,23.59
2025*,21.91
2024*,19.08
2023*,16.64
2022*,14.89
2021*,13.96
2020*,14.39
2019,15.2
2018,14.71
2017,13.15
2016,11.94
2015,15.95
2014,17.62
2013,16.97
2012,16.26
2011,14.38
2010,11.42
2009,12.26
2008,12.64
2007,10.53
2006,9.3
2005,8.51
2004,7.59
2003,6.25
2002,5.63
2001,5.31
2000,5.39
1999,5.93
1998,5.63
1997,4.98
1996,4.16
1995,2.96
1994,2.85
1993,2.65
1992,2.58
1991,3.7
1990,3.53
1989,2.2
1988,2.11
1987,2.4
1986,5.3
