Characteristic,Expenses in million U.S. dollars
2021 Q1,4.79
2020 Q4,4.69
2020 Q3,4.9
2020 Q2,4.83
2020 Q1,5.26
2019 Q4,4.43
2019 Q3,4.77
2019 Q2,4.11
2019 Q1,3.4
2018 Q4,2.83
2018 Q3,2.82
2018 Q2,3.67
2018 Q1,3.3
2017 Q4,3.07
2017 Q3,2.85
2017 Q2,2.38
2017 Q1,3.21
2016 Q4,1.7
2016 Q3,2.02
2016 Q2,2.19
2016 Q1,2.78
2015 Q4,2.13
2015 Q3,2.59
2015 Q2,2.69
2015 Q1,2.44
2014 Q4,1.99
2014 Q3,2.45
2014 Q2,2.12
2014 Q1,2.78
2013 Q4,1.48
2013 Q3,1.44
2013 Q2,1.06
2013 Q1,2.45
2012 Q4,1.4
2012 Q3,0.84
2012 Q2,0.96
2012 Q1,0.65
2011 Q4,0.44
2011 Q3,0.36
2011 Q2,0.32
2011 Q1,0.23
