Characteristic,Revenue in U.S. dollars
30 jours max,6224006
Trolls World Tour,5086543
Bye bye Morons,3945464
Poly,2777184
Antoinette dans les Cévennes,1788389
My Cousin,1730433
Tenet,1392410
Honest thief,1285155
Another round,1271306
Appearances,1251102
Parents d'élèves,906499
Little Vampire,899348
Train to Busan Presents: Peninsula,703587
Josep,682170
Miss,652093
Mama Weed,614891
"The Things We Say, the Things We Do",592924
The war with Grandpa,364495
Boutchou,309091
Les blagues de Toto,274005
Un pays qui se tient sage,271323
