Brand,Brand value in million U.S. dollars
Samsung Electronics,39610
Hyundai Motor Company,9004
Kia Motors Corporation,4708
SK Telecom,3855
POSCO,2494
Samsung Life Insurance,2476
LG Electronics,2392
NAVER,2295
KB Kookmin Bank,2264
Shinhan Card,2187
Korea Telecom,1825
Shinhan Bank,1657
Hana Bank,1607
Hyundai Heavy Industries,1565
Samsung Fire & Marine Insurance,1551
Hyundai Mobis,1410
LG Chem,1402
Lotte Shopping,1313
Amore Pacific,1148
Hyundai Card,1121
Samsung Card,1078
Kyobo Life Insurance,1065
Samsung C&T,1061
Hyundai Engineering & Construction,903
Hankook Tire,779
