Characteristic,Unit sales in millions
Animal Crossing: New Horizons,20.85
Mario Kart 8 Deluxe,10.62
Super Mario 3D All-Stars,9.01
Ring Fit Adventure,7.38
Super Mario 3D World + Bowser’s Fury,5.59
Super Smash Bros. Ultimate,5.01
The Legend of Zelda: Breath of the Wild,4.86
Super Mario Party,4.69
New Super Mario Bros. U Deluxe,3.84
Pokémon Sword/Pokémon Shield,3.73
Super Mario Odyssey,3.42
Luigi’s Mansion 3,3.26
Clubhouse Games: 51 Worldwide Classics,3.14
Paper Mario: The Origami King,3.12
Hyrule Warriors: Age of Calamity*,3.07
Splatoon 2,2.08
Pikmin 3 Deluxe,2.04
Super Mario Maker 2,1.67
Xenoblade Chronicles Definitive Edition,1.52
"Pokémon: Let's Go, Pikachu! Pokémon: Let's Go, Eevee!",1.31
Mario Kart Live: Home Circuit,1.27
The Legend of Zelda: Link’s Awakening,1.11
