Characteristic,Gross domestic product in billion U.S. dollars
2026*,1040.2
2025*,988.21
2024*,949.87
2023*,905.18
2022*,874.16
2021*,824.73
2020*,747.43
2019,732.19
2018,736.43
2017,704.77
2016,695.46
2015,679.75
2014,709.47
2013,688.72
2012,667.9
2011,699.66
2010,583.07
2009,541.62
2008,553.83
2007,480.27
2006,431.13
2005,408.67
2004,393.6
2003,353.15
2002,301.5
2001,278.69
2000,272.18
1999,289.55
1998,294.83
1997,286.56
1996,330.24
1995,342.76
1994,292.68
1993,264.18
1992,271.58
1991,261.2
1990,258.02
1989,202.21
1988,209.37
1987,193.38
1986,154.45
