Characteristic,Number of supplier factories*
China,292
India,107
Turkey,93
Bangladesh,82
Sri Lanka,54
Vietnam,27
Cambodia,27
United Kingdom,25
Myanmar,23
Italy,11
Pakistan,8
Indonesia,7
Portugal,6
Thailand,6
Poland,5
Egypt,4
Madagascar,3
Georgia,2
Germany,2
Lithuania,2
Morocco,2
Tunisia,2
Serbia,2
Spain,2
Malaysia,1
Nepal,1
Netherlands,1
Estonia,1
Philippines,1
Mauritus,1
Bosnia and Herzegovina,1
Belarus,1
Bulgaria,1
Brazil,1
USA,1
France,1
Taiwan,1
Czech Republic,1
