Characteristic,Number of students*
Total,1785100
Comprehensive schools*,548100
Adult education centers,405100
Vocational institutes,208700
Universities,160400
Universities of applied sciences,153400
Upper secondary general schools,114300
Music schools and colleges,59200
Comprehensive and upper secondary general level schools,28300
Summer universities,22800
Specialised vocational institutes,18100
Folk high schools,16000
Vocational adult education centers,15000
Sports institutes,13100
Study circle centers,11800
Special needs vocational institutes,5600
Comprehensive school level special education schools,3500
Military academies,900
Other educational institutions,400
"Fire, police and security service institutes",400
