Characteristic,March 4,March 6,March 9,March 12
WIG20,-1.52%,-3.18%,-7.87%,-13.28%
MWIG40,-0.8%,-2.18%,-6.23%,-11.92%
SWIG80,-0.01%,-1.31%,-7.76%,-10.73%
WIG30,-1.4%,-3.1%,-7.58%,-13.09%
WIG,-1.24%,-2.81%,-7.5%,-12.65%
WIG-BANKI,-1.02%,-3.35%,-9.03%,-15.15%
WIG-BUDOW,-0.32%,-0.57%,-6.22%,-6.9%
WIG-CHEMIA,-0.81%,-0.92%,-8.23%,-11.57%
WIG-ENERG,-2.06%,-3.53%,-5.87%,-13.75%
WIG-GORNIC,-2.87%,-4.12%,-10.96%,-15.78%
WIG-INFO,-0.2%,-1.08%,-5.44%,-7.28%
WIG-LEKI,-0.4%,-4.03%,-15.75%,-18.69%
WIG-MEDIA,2.52%,-6.49%,-7.51%,-9.23%
WIG-MOTO,-1.3%,-2.52%,-5.51%,-13.32%
WIG-NRCHOM,-0.03%,-0.59%,-7.59%,-6.2%
WIG-ODZIEZ,-1.65%,-3.34%,-9.5%,-17.16%
WIG-PALIWA,-3.66%,-5.15%,-3%,-7.4%
WIG-SPOZYW,-2.23%,-2.56%,-6.48%,-11.15%
WIG-TELKOM,1.51%,-0.1%,-5.72%,-9.29%
