Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,1.72%
2024*,1.58%
2023*,1.4%
2022*,1.23%
2021*,0.32%
2020*,1.09%
2019,3.7%
2018,1.7%
2017,0.09%
2016,0.8%
2015,0.94%
2014,-0.01%
2013,0.42%
2012,5.91%
2011,2.23%
2010,3.9%
2009,4.79%
2008,4.82%
2007,4.49%
2006,3.39%
2005,3.01%
2004,4.5%
2003,3.71%
2002,3.58%
2001,5.57%
2000,5.9%
1999,1.1%
1998,1.2%
1997,1.5%
1996,2.4%
1995,3.15%
1994,25.3%
1993,2%
1992,-1.4%
1991,1.7%
1990,-7.39%
1989,4.44%
1988,0.29%
1987,3.3%
1986,-11.29%
