Characteristic,2015,2016,2017,2018,2019,2020,2021
Dec,80.8,79.8,76.3,73.7,67.3,69.8,-
Nov,81.6,76.1,76.8,72.1,67.5,72.0,-
Oct,80.5,75.4,70.5,77.0,71.5,69.9,-
Sep,79.6,76.4,73.0,75.7,65.7,71.3,-
Aug,78.9,75.1,72.9,74.3,76.0,69.7,-
Jul,79.1,72.6,75.5,77.6,67.8,72.6,-
Jun,76.5,73.1,77.7,77.4,69.1,72.3,-
May,72.5,73.1,79.5,73.8,69.4,73.0,-
Apr,78.2,75.6,76.6,72.3,73.9,73.2,-
Mar,79.9,75.4,74.2,73.7,76.0,73.7,61.4
Feb,78.3,78.2,72.3,73.9,74.2,70.7,63.6
Jan,73.9,77.5,77.8,70.8,76.2,68.6,67
