Characteristic,Number of cases
São Paulo,3696093
Minas Gerais,1786654
Paraná,1269017
Rio Grande do Sul,1209799
Bahia,1119127
Santa Catarina,1046141
Rio de Janeiro,951360
Ceará,880418
Goiás,671057
Pará,549528
Pernambuco,546537
Espírito Santo,514907
Mato Grosso,445653
Distrito Federal,428352
Amazonas,400781
Paraíba,391811
Rio Grande do Norte,336217
Mato Grosso do Sul,333050
Maranhão,315104
Piauí,294818
Sergipe,262447
Rondônia,246818
Alagoas,214509
Tocantins,196509
Amapá,116708
Roraima,111720
Acre,85463
