Characteristic,Share of respondents
"Jun 3, 20201",82%
"May 20, 2021",81%
"May 6, 2021",70%
"Apr 22, 2021",64%
"Apr 8, 2021",67%
"Mar 25, 2021",68%
"Mar 11, 2021",68%
"Feb 25, 2021",68%
"Feb 11, 2021",69%
"Jan 28, 2021",71%
"Jan 14, 2021",69%
"Jan 3, 2021",72%
"Dec 17, 2020",70%
"Dec 3, 2020",70%
"Nov 19, 2020",73%
"Nov 5, 2020",69%
"Oct 22, 2020",70%
"Oct 8, 2020",70%
"Sep 24, 2020",70%
"Sep 10, 2020",72%
"Aug 27, 2020",76%
"Aug 13, 2020",76%
"Aug 2, 2020",75%
"Jul 19, 2020",81%
"Jul 6, 2020",80%
"Jun 18, 2020",84%
"Jun 4, 2020",80%
"May 21, 2020",85%
"Apr 30, 2020",84%
"Apr 23, 2020",86%
"Apr 16, 2020",83%
"Apr 9, 2020",85%
"Apr 2, 2020",83%
"Mar 26, 2020",75%
"Mar 19, 2020",74%
"Mar 12, 2020",67%
"Mar 5, 2020",70%
"Feb 27, 2020",68%
"Feb 20, 2020",44%
