Characteristic,Index (Dec. 2005=100)
Q1 '21,143.7
Q4 '20,142.4
Q3 '20,141.4
Q2 '20,140.7
Q1 '20,140.0
Q4 '19,138.9
Q3 '19,138.0
Q2 '19,137.0
Q1 '19,136.2
Q4 '18,135.2
Q3 '18,134.3
Q2 '18,133.3
Q1 '18,132.5
Q4 '17,131.4
Q3 '17,130.6
Q2 '17,129.7
Q1 '17,129.0
Q4 '16,128.0
Q3 '16,127.4
Q2 '16,126.7
Q1 '16,126.0
Q4 '15,125.2
Q3 '15,124.5
Q2 '15,123.8
Q1 '15,123.6
Q4 '14,122.8
Q3 '14,122.2
Q2 '14,121.4
Q1 '14,120.5
Q4 '13,120.1
Q3 '13,119.5
Q2 '13,119.0
Q1 '13,118.4
Q4 '12,117.8
Q3 '12,117.3
Q2 '12,116.8
Q1 '12,116.2
Q4 '11,115.7
Q3 '11,115.1
Q2 '11,114.8
Q1 '11,114.0
Q4 '10,113.3
Q3 '10,112.8
Q2 '10,112.3
Q1 '10,111.8
