Characteristic,Number of teachers
Uttar Pradesh,546381
West Bengal,300391
Madhya Pradesh,223200
Maharastra,157865
Bihar,146405
Tamil Nadu,144224
Assam,133900
Chhattisgarh,100790
Andhra Pradesh,99912
Odisha,96919
Rajasthan,95262
Karnataka,63811
Telangana,58610
Jharkhand,57498
Punjab,48104
Kerala,48063
Uttarakhand,42791
Haryana,40322
Jammu & Kashmir,35378
Gujrat,35010
Himachal Pradesh,27880
Delhi,27492
Meghalaya,23517
Manipur,11874
Tripura,10638
Nagaland,7392
Mizoram,6189
Arunachal Pradesh,5471
Sikkim,4205
Goa,3016
Puducherry,1501
Andaman & Nicobar Islands,935
Dadra & Nagar Haveli,456
Daman & Diu,332
Lakshadweep,204
Chandigarh,182
