Characteristic,Male,Female
France,520,244
Germany,421,367
England & Wales,429,241
Italy,241,133
Spain,194,117
Poland,190,83
Hungary,43,43
Lithuania,74,54
Netherlands,64,36
Latvia,41,43
Bulgaria,54,38
Finland,63,27
Cyprus,9,6
Serbia,80,28
Sweden,75,33
Greece,70,29
Denmark,38,20
Switzerland,22,28
Slovakia,36,26
Croatia,16,8
Scotland,46,15
Norway,16,9
Kosovo,35,9
Albania,53,15
Bosnia,31,8
Northern Ireland,18,5
Slovenia,5,5
Estonia,23,5
Montenegro,12,2
Iceland,2,1
Malta,3,4
