Characteristic,Number of tests performed
USA,503784831
India,406371279
UK,207164164
China,160000000
Russia,147900000
France,92527219
Italy,71132502
Germany,63813168
Turkey,60105441
Brazil,53209627
Spain,51240666
Canada,36527044
Czechia,28906706
Iran,23308926
Colombia,19619249
Indonesia,19539205
Poland,17249401
Chile,16839796
Argentina,16428316
Belgium,15022137
Philippines,14795458
Netherlands,14596733
Pakistan,14460890
Peru,14084148
South Africa,12968748
Iraq,11577950
Ukraine,10806892
Sweden,10574760
Romania,9738839
Mexico,7454371
Bangladesh,6506781
