Characteristic,Male,Female
1990,0.36%,0.32%
1991,0.36%,0.32%
1992,0.36%,0.32%
1993,0.36%,0.32%
1994,0.36%,0.32%
1995,0.36%,0.32%
1996,0.36%,0.32%
1997,0.36%,0.32%
1998,0.36%,0.32%
1999,0.36%,0.32%
2000,0.36%,0.32%
2001,0.36%,0.33%
2002,0.35%,0.33%
2003,0.35%,0.33%
2004,0.35%,0.34%
2005,0.35%,0.34%
2006,0.35%,0.33%
2007,0.35%,0.33%
2008,0.35%,0.33%
2009,0.35%,0.32%
2010,0.35%,0.32%
2011,0.35%,0.32%
2012,0.35%,0.32%
2013,0.35%,0.32%
2014,0.35%,0.32%
2015,0.35%,0.32%
2016,0.35%,0.32%
2017,0.34%,0.32%
