Characteristic,Production volume in million metric tons
China Baowu Group*(China),115.29
ArcelorMittal (Luxembourg),78.46
HBIS Group* (China),43.76
Shagang Group (China),41.59
Nippon Steel Corporation* (Japan),41.58
POSCO (South Korea),40.58
Ansteel Group (China),38.19
Jianlong Group (China),36.47
Shougang Group (China),34.0
Shandong Group (China),31.11
Delong Steel Group (China),28.26
Tata Steel* (India),28.07
Valin Group (China),26.78
JFE Steel (Japan),24.36
Nucor (U.S.),22.69
Hyundai Steel (South Korea),19.81
