Characteristic,Gross domestic product in billion U.S. dollars
2022*,40.4
2021*,42.53
2020*,47.26
2019*,63.96
2018,98.4
2017,143.84
2016,279.25
2015,323.6
2014,203.82
2013,258.99
2012,352.19
2011,352.54
2010,318.28
2009,268.62
2008,306.76
2007,232.86
2006,178.52
2005,143.38
2004,112.25
2003,83.68
2002,95.26
2001,123.12
2000,117.6
1999,97.52
1998,91.84
1997,85.68
1996,70.54
1995,77.43
1994,58.36
1993,59.87
1992,60.4
1991,53.38
1990,48.39
1989,44.67
1988,60.38
1987,46.85
1986,60.88
1985,59.87
