Characteristic,Construction costs in million U.S. dollars
"MetLife Stadium New Jersey, United States",1600
"Yankees Stadium New York, United States",1500
"Olympic Stadium Montreal, Canada",1470
"AT&T Stadium Dallas, United States",1400
"Wembley Stadium London, England",1350
"Madison Square Garden New York, United States",1100
"Nissan Stadium Yokohama, Japan",990
"Stade de France Saint Denis, France",974
"Rogers Centre Toronto, Canada",930
"Jamsil Olympic Stadium Seoul, South Korea",923
