Characteristic,Lifetime gross in million U.S. dollars
Star Wars: The Force Awakens,936.66
Avengers: Endgame*,842.76
Avatar,760.51
Black Panther,700.06
Avengers: Infinity War,678.82
Jurassic World,652.27
Marvel's The Avengers,623.36
Star Wars: The Last Jedi,620.18
Incredibles 2,608.59
Rogue One: A Star Wars Story,532.18
Beauty and the Beast (2017),504.01
Finding Dory,486.3
Avengers: Age of Ultron,459.01
Captain Marvel*,426.82
Jurassic World: Fallen Kingdom,416.77
Toy Story 3,415.0
Wonder Woman,412.56
Iron Man 3,409.01
Captain America: Civil War,408.08
Jumanji: Welcome to the Jungle,404.52
