Characteristic,GDP per capita in U.S. dollars
2026*,1226.59
2025*,1144.97
2024*,1071.83
2023*,1022.76
2022*,1025.06
2021*,971.98
2020*,912.44
2019*,948.89
2018*,878.22
2017*,833.03
2016,808.45
2015,769.77
2014,960.7
2013,964.83
2012,950.56
2011,872.04
2010,808.71
2009,815.81
2008,784.5
2007,634.36
2006,527.74
2005,483.03
2004,430.76
2003,361.77
2002,361.95
2001,347.81
2000,355.47
1999,370.52
1998,402.46
1997,423.92
1996,401.41
1995,401.89
1994,346.26
1993,247.11
1992,216.04
1991,238.48
1990,472.19
1989,599.95
1988,767.65
1987,768.94
1986,494.51
