Characteristic,Share of urban population
Shanghai*,88.3%
Beijing*,86.6%
Tianjin*,83.48%
Guangdong,71.4%
Jiangsu,70.61%
Zhejiang,70%
Liaoning,68.11%
Chongqing*,66.8%
Fujian,66.5%
Inner Mongolia,63.37%
Shandong,61.51%
Hubei,61%
Heilongjiang,60.9%
National average,60.6%
Ningxia,59.86%
Shanxi,59.55%
Shaanxi,59.43%
Hainan,59.23%
Jilin,58.27%
Hebei,57.62%
Jiangxi,57.42%
Hunan,57.22%
Anhui,55.81%
Qinghai,55.52%
Sichuan,53.79%
Henan,53.21%
Xinjiang,51.87%
Guangxi,51.09%
Guizhou,49.02%
Yunnan,48.91%
Gansu,48.49%
Tibet,31.54%
