Characteristic,Inflation rate compared to the previous year
2026*,0.99%
2025*,0.99%
2024*,0.89%
2023*,0.79%
2022*,0.3%
2021*,0.07%
2020*,-0.73%
2019,0.36%
2018,0.94%
2017,0.53%
2016,-0.43%
2015,-1.14%
2014,-0.01%
2013,-0.22%
2012,-0.69%
2011,0.23%
2010,0.69%
2009,-0.48%
2008,2.43%
2007,0.74%
2006,1.06%
2005,1.17%
2004,0.8%
2003,0.64%
2002,0.64%
2001,0.99%
2000,1.56%
1999,0.81%
1998,0.02%
1997,0.52%
1996,0.81%
1995,1.8%
1994,0.85%
1993,3.29%
1992,4.04%
1991,5.86%
1990,5.4%
1989,3.15%
1988,1.87%
1987,1.44%
1986,0.74%
