Characteristic,Exports in billion U.S. dollars
Q2 '20,444.65
Q1 '20,605.55
Q4 '19,632.47
Q3 '19,630.19
Q2 '19,631.39
Q1 '19,634.21
Q4 '18,634.73
Q3 '18,634.63
Q2 '18,639.68
Q1 '18,630.35
Q4 '17,618.09
Q3 '17,595.23
Q2 '17,587.17
Q1 '17,586.89
Q4 '16,570.24
Q3 '16,567.61
Q2 '16,553.8
Q1 '16,546.27
Q4 '15,557.27
Q3 '15,567.8
Q2 '15,567.27
Q1 '15,578.4
Q4 '14,598.58
Q3 '14,602.44
Q2 '14,600.9
Q1 '14,590.36
Q4 '13,590.11
Q3 '13,577.11
Q2 '13,573.41
Q1 '13,572.62
Q4 '12,566.82
Q3 '12,562.9
Q2 '12,561.72
Q1 '12,556.02
Q4 '11,545.89
Q3 '11,547.84
Q2 '11,534.59
Q1 '11,515.24
Q4 '10,498.37
Q3 '10,473.16
Q2 '10,457.15
Q1 '10,443.65
