Characteristic,Retail sales in million Canadian dollars
Mar '21,103.39
Feb '21,86.74
Jan '21,87.19
Dec '20,92.52
Nov '20,81.26
Oct '20,82.12
Sep '20,77.99
Aug '20,71.23
Jul '20,60.33
Jun '20,48.85
May '20,41.13
Apr '20,40.26
Mar '20,47.3
Feb '20,39.24
Jan '20,37.06
Dec '19,33.69
Nov '19,31.62
Oct '19,32.85
Sep '19,31.79
Aug '19,33.77
Jul '19,29.61
Jun '19,25.86
May '19,22.82
Apr '19,19.69
Mar '19,7.69
Feb '19,7.54
Jan' 19,8.95
Dec '18,8.72
Nov '18,8.92
Oct '18,11.45
