Characteristic,Index (2015=100)
Jul 20,114.6
Jun 20,115.6
May 20,117.8
Apr 20,104.1
Mar 20,111.1
Feb 20,113.6
Jan 20,112.5
Dec 19,110.8
Nov 19,112.4
Oct 19,110.8
Sep 19,111.3
Aug 19,111.0
Jul 19,110.9
Jun 19,111.4
May 19,109.3
Apr 19,110.5
Mar 19,110.8
Feb 19,110.6
Jan 19,110.1
Dec 18,107.8
Nov 18,108.9
Oct 18,108.4
Sep 18,107.1
Aug 18,107.4
Jul 18,107.6
Jun 18,107.6
May 18,107.6
Apr 18,109.3
Mar 18,106.4
Feb 18,105.3
Jan 18,106.1
Dec 17,108.3
Nov 17,106.8
Oct 17,106.0
Sep 17,106.9
Aug 17,105.3
Jul 17,105.8
Jun 17,105.7
May 17,106.1
Apr 17,104.8
Mar 17,106.4
Feb 17,103.8
Jan 17,103.2
Dec 16,104.4
Nov 16,102.5
Oct 16,104.7
Sep 16,101.3
Aug 16,102.5
