Characteristic,Men,Women
"Clothes (including sports clothing), shoes and accessories",49%,62%
"Deliveries from restaurants, fast-food chains or catering services",32%,32%
"Printed books, magazines or newspapers",28%,30%
"Furniture, home accessories or gardening products",29%,28%
"Computers, tablets, mobile phones or accessories",27%,21%
Children's toys or childcare items,19%,24%
"Cosmetics, beauty or wellness products",15%,29%
Cleaning products or personal hygiene products,16%,20%
"Consumer electronics, for example TVs, stereos, cameras or household appliances",23%,13%
Sports goods (excluding sports clothing),22%,12%
"Food or beverages from stores, or from meal-kit providers",13%,14%
Medicine or dietary supplements such as vitamins,13%,13%
Physical copies of films or series,15%,11%
Physical copies of music,15%,10%
