Characteristic,Number of death sentences
China**,1000
Yemen*,269
Egypt*,264
Zambia,119
Indonesia*,117
Bangladesh*,113
India,77
Nigeria*,58
Viet Nam*,54
Pakistan *,49
Sierra Leone,39
Thailand,35
Mali,30
Iraq*,27
Malaysia*,22
Democratic Republic of Congo*,20
United States,18
Libya*,17
Palestine (State of)*,17
Sri Lanka*,16
Sudan*,10
Laos*,9
Saudi Arabia*,8
Tunisia*,8
Singapore,8
South Sudan*,6
Zimbabwe,6
Taiwan,5
Afganistan*,4
Qatar*,4
United Arab Emirates*,4
Bahrain,3
Belarus,3
Ghana,3
Japan,3
Niger,3
Jordan*,2
Kuwait*,2
Malawi*,2
Trinidad and Tobago,2
Algeria*,1
Cameroon*,1
Lebanon*,1
Mauritania*,1
Morocco/Western Sahara*,1
Botswana,1
Comoros,1
Gambia,1
Myanmar,1
