Characteristic,Gross domestic product in billion U.S. dollars
2026*,564.64
2025*,525.04
2024*,488.0
2023*,453.23
2022*,417.21
2021*,387.09
2020*,338.28
2019,364.68
2018,358.71
2017,319.11
2016,301.26
2015,301.36
2014,342.87
2013,327.87
2012,318.91
2011,302.19
2010,258.65
2009,211.88
2008,242.04
2007,202.8
2006,170.47
2005,150.35
2004,135.87
2003,120.03
2002,109.83
2001,101.05
2000,102.15
1999,86.2
1998,78.61
1997,109.1
1996,109.84
1995,96.75
1994,81.12
1993,72.86
1992,64.42
1991,53.51
1990,47.24
1989,41.68
1988,37.85
1987,34.53
1986,30.3
