Characteristic,Mar 2020,Nov 2020,January 2021
Motor vehicle; reparings,1666,0,0
"Leasing, real estate services, travel services etc.",1378,0,0
Hotels and restaurants,1026,10,0
Manufacturing,831,0,0
"Science of law, economy and technology",536,0,0
Information and communications,413,0,0
Transportation and storage,309,0,0
Education,91,0,0
Construction,78,0,0
Finance and insurance,25,0,0
Real estate,24,0,0
"Culture, entertainment and leisure",19,0,0
Care and social services,11,0,0
Water supply,7,0,0
Other services,39,0,0
